month,elevation,bio
2,395.835,1.14725
2,403.38,1.24523
2,407.835,1.33874
2,426.468,1.53985
2,434.924,2.07436
6,392.19,10.1071
6,395.38,11.5915
6,399.886,13.3388
6,406.266,15.7852
6,412.19,18.1439
6,419.532,19.0249
6,422.468,25.3832
6,424.241,34.0028
6,430.772,38.7995
6,426.013,41.4908
6,429.152,42.2788
6,427.886,42.7992
9,424.899,14.5937
9,426.924,14.5966
9,419.734,15.2825
9,414.266,15.7098
9,409.608,16.6605
9,405.152,17.4374
9,400.646,18.3883
9,431.025,18.6064
9,432.696,26.8777
9,434.063,34.8874
9,434.975,42.2872
9,436.342,49.9488
9,437.405,57.0876
9,439.127,64.3145
9,440.139,67.7976
