water_level,risk_ ratio,curve_type
132.064,20.3129,risk_90
132.385,19.756,risk_90
132.833,19.5165,risk_90
133.09,19.1186,risk_90
133.41,18.5617,risk_90
133.603,17.9257,risk_90
133.795,17.2102,risk_90
134.5,15.699,risk_90
135.013,14.5855,risk_90
135.718,13.3126,risk_90
136.487,11.8806,risk_90
137.128,11.0051,risk_90
137.641,10.2888,risk_90
138.09,8.77827,risk_90
138.474,7.34734,risk_90
139.051,5.99535,risk_90
140.269,5.11829,risk_90
141.423,4.40028,risk_90
142.385,4.00054,risk_90
142.897,3.68142,risk_90
144.564,3.0415,risk_90
146.167,2.56062,risk_90
147.705,2.15935,risk_90
150.205,1.83497,risk_90
152.128,1.671,risk_90
154.692,1.34645,risk_90
157.385,1.02157,risk_90
160.269,0.93449,risk_90
161.808,0.930416,risk_90
134.756,24.9133,risk_50
135.077,23.8003,risk_50
135.462,22.2899,risk_50
136.295,19.9045,risk_50
137.128,17.4397,risk_50
138.218,15.3714,risk_50
139.372,13.0646,risk_50
140.269,11.6323,risk_50
140.782,9.56553,risk_50
141.295,7.73707,risk_50
142.321,6.6222,risk_50
143.282,5.82527,risk_50
144.628,4.94787,risk_50
145.654,4.30964,risk_50
146.872,3.82978,risk_50
148.346,3.34924,risk_50
150.462,2.70812,risk_50
152.897,2.30448,risk_50
155.59,1.82071,risk_50
157.577,1.49769,risk_50
160.013,1.25293,risk_50
161.679,1.16907,risk_50
136.487,24.9087,risk_10
136.679,23.9549,risk_10
137.064,22.9212,risk_10
137.449,21.4902,risk_10
137.897,20.2975,risk_10
138.538,18.3892,risk_10
139.5,16.4007,risk_10
140.269,14.7304,risk_10
141.038,13.1396,risk_10
141.615,12.1848,risk_10
142.128,10.4358,risk_10
142.705,8.52773,risk_10
143.474,7.09578,risk_10
144.949,6.21805,risk_10
146.038,5.34133,risk_10
147.321,4.78186,risk_10
149.244,3.8235,risk_10
151.231,3.26216,risk_10
153.154,2.70099,risk_10
155.205,2.29837,risk_10
157.128,1.97552,risk_10
158.538,1.65403,risk_10
159.885,1.65046,risk_10
161.679,1.40739,risk_10
